job_title,company_name,company_location,work_method,post_date,work_time,job_desc
VN Faculty Apprentice,Unitek Learning,"South San Francisco, CA",On-site,1 week ago,Temporary · Entry level,"About the job
Company Description

As a leading healthcare education organization, Unitek Learning’s family of schools helps thousands of students launch and accelerate their careers every year. As a rapidly growing and highly successful company, Unitek is also a great place to pursue a rewarding and challenging career. We offer a competitive salary, generous benefits, unlimited growth potential, and a collegiate work environment.

Why Work for Unitek Learning? To be part of a healthcare revolution. There is plenty of demand from students who want to become nurses, and there is plenty of demand to hire highly skilled nurses. Unitek Learning is on a mission to fix the connection between those who want to become nurses and the communities who desperately need them. We graduate culturally competent and highly skilled nurses, and we do this at scale. We have history, stability and strong student outcomes. We need your experience and transfer of knowledge to make this vision come to life. Be a part of the solution.

Leverage your experience as a licensed nurse and your passion for changing lives to impact the next generation of nurses in the field of healthcare. Unitek Learning is on a mission to help solve the healthcare crisis by increasing the number of nurses in the field. To be successful in our mission, we need experienced nurses to embrace the role of educator and teach aspiring students the skills necessary to serve patients and hospitals in need of help.

We have built a pathway to successfully transition you from work in the field to work in the classroom as an educator. Unitek Learning will provide you all the necessary support, resources, courses, and mentorship to change lives as an educator. The Faculty Apprentice Program will guide you step-by-step through the teaching credential process to help you smoothly transition to work in the classroom.

Join us as a full-time staff member and we will do the rest! All requirements, courses, and education costs will be covered by Unitek Learning to support your pathway into education. We believe in your ability to make a difference in the lives of our students. Come change the world with us!

Come join our team as a VN Faculty Apprentice and let's train you to become a Vocational Nursing Instructor!

Job Description

Maintain learning spaces appropriately to effectively ensure delivery of lesson content to students.
Supervise and tutor students as assigned
Assess student performance, document, and offer remediation/academic advising when needed
Follow remediation, accreditation, and institutional protocol for academic documentation
Maintain and update student files/records in accordance with institution policies and procedures
Proctor exam processes as assigned
Informs instructors and students via e-mail of incomplete immunization record and expired CPR License
Completion of clinical rotation matrices prior to start of clinical rotations
Assist with the maintenance of documentation for accrediting agencies and boards manuals.
Manage application materials for the preliminary and clear credentials
After preliminary credentials are awarded, teach clinical and theory-based courses up thirty-two hours per week as assigned while taking courses

Job Expectations:

While completing preliminary credential application materials, candidates will observe classroom activity and assist with tutoring students
Once preliminary credentials are received, teach up to 32 hours a week in clinical and theory courses, depending on the campus needs, and complete coursework during remaining 8 hours per week
After completing coursework, transition to full-time faculty status while waiting for the clear credential confirmation

Qualifications

LVN or RN License
3 years verifiable Vocational or Registered Nursing experience

We Offer:

Medical, Dental and Vision starting the 1st of the month following 30 days of employment
2 weeks’ vacation per year. Increasing based on years of service with company
10 paid Holidays and 1 Floating Holiday
401K with a Company Match
Company Paid Life Insurance at 1x’s your annual salary
Leadership development and training for career advancement
Tuition assistance and Forgiveness for you and your family; depending on program

Additional Information

All your information will be kept confidential according to EEO guidelines."
Collections Specialist I,Planned Parenthood of the Pacific Southwest,"San Diego, CA",On-site,2 weeks ago,Full-time · Entry level,"About the job
Planned Parenthood of the Pacific Southwest has been voted one of the best places to work. We are one of the largest providers of reproductive healthcare in Southern California, operating 19 health centers throughout our three county region. Check out our new video, ""We are Planned Parenthood of the Pacific Southwest” for more information about our organization: https://www.youtube.com/watch?v=4JFgoD8pcg0 .

Care. No Matter What.

The Collections Specialist will collect, post, and manage account payments. In this exciting opportunity, you will be responsible for submitting claims and following up with insurance companies on unpaid amounts. This will include communicating with patients and staff to provide a clear understanding of insurance benefits and eligibility, payment options, and patient financial responsibility.

The ideal candidate will have an excellent customer service focus and be dedicated to meeting the expectations and requirements of internal and external customers. If you are passionate about our mission, have an eye for detail, and excel at managing multiple priorities in a fast-paced environment, apply now!

PPPSW Compensation Philosophy And Position Hiring Rate
At Planned Parenthood of the Pacific Southwest (PPPSW) the philosophy behind our compensation efforts is to foster workplace equity by aligning pay and benefit structures with our Agency’s mission and values. These efforts are continuously evaluated as we work toward living out our social justice values as an employer. PPPSW recognizes that decisions about pay and benefits have significant impact on staff, and we work diligently to ensure all positions are compensated competitively as compared to other similar positions in the community. The Affiliate establishes compensation supported by a position description that identifies competencies, duties, responsibilities and qualifications. In alignment with the Agency culture, PPPSW will strive to communicate openly and transparently about the goals of the Agency and the design of the compensation policies. The Agency will ensure the compensation program is administered in a manner that is consistent with Agency’s value of pay equity.
The hiring rate for this position is: $20.00-$23.89/hour
In This Role, You'll Get To
Prepare and submit clean claims to third party payers, either electronically or on paper; work claim rejections.
Verify Insurance eligibility, benefits and patient cost shares.
Perform post-visit financial counselling with patients to ensure they are aware of their insurance coverage and financial responsibility. Explain complex insurance topics such as benefit coverages, copays, deductibles and coinsurance.
Negotiate payment plans for patients who cannot afford to pay cost of services in full.
Serve as a patient advocate ensuring they are aware of and take advantage of programs such as Medi-Cal, Family Pact and available sliding fee discounts.
Analyze and process third party payments/adjustments.
Determine the appropriateness of appealing denied claims, and take necessary actions to resubmit those claims on a timely basis.
Work aging and rebill reports; perform effective follow-up on unpaid claims using EPM tasking.
Update EPM system with notes from conversations with patients, payers, Contact Center or Health Center Staff. Ensure new or pertinent demographic information from patients is updated to ensure clean claim submission to 3rd party payers.
Answer questions from patients, internal customers and insurance companies.
Provide counseling to patients and Health Center staff on complicated insurance questions.
Prepare, review, and send patient statements.
Identify and resolve patient billing complaints.
Perform various collection efforts including contacting patients by phone.
What We're Looking For
2-4 years of recent third-party billing/coding experience or equivalent required.
2-4 years of recent practice management system and collections experience required
(Recent experience defined as experience within at least the last 6 months)
Knowledge of PPO, HMO, IPA, MSO, and Medi-Cal billing practices & protocols
Knowledge of CPT & ICD codes
We are the power of Planned Parenthood.

We are Planned Parenthood of the Pacific Southwest, one of the largest and most prominent affiliates of the most iconic health care organization in the world. We are recognized for the wide array of services we provide and the outstanding education we deliver.

We are a prominent and powerful team of health experts who work relentlessly to help our communities sustain their health and well-being. We adhere to the highest standards and protocols as we collaborate and care for people, without judgment.

100 years of advocating for our mission has secured our advancement, our future and our passion for practicing health care.

We are a team you can have fun with and a powerful movement you can be part of. Together we’ll take pride in shaping the future of sexual health and reproductive rights.

For those who feel that purpose is critical to their work, this is a gift.

In This Together.

Planned Parenthood of the Pacific Southwest is an Equal Opportunity Employer.

Please visit our careers page for more information: www.pppswcareers.org"
Urban English Linguist,KACE Company,"Houston, TX",On-site,1 week ago,$20/hr (from job description) · Part-time · Internship,"About the job
TITLE: Urban Dialect English Linguist

LOCATION: Nationwide

TRAVEL: Frequent travel around the U.S. all expenses paid!

About KACE

When you make the decision to join KACE as a Linguist, you are choosing to work alongside talented professionals that have one thing in common; the passion to make a difference! KACE employees bring their diverse talents and experiences to work on critical projects that help shape the nation’s safety, security, and quality of life.

The desire to have a career that is purposeful and forward thinking is woven into every KACE employee…it’s The KACE Way. KACE employees are; purpose driven, forward focused, open-minded, trustworthy and invested.

The KACE Way is our commitment to our employees, to our customers, and to our communities. Join KACE and make a difference!

We’re looking to add an Urban Dialect English Linguist. If you can envision joining a team where you will have the opportunity to provide mission driven results; then we are looking for you!

Job Summary

Linguist is responsible for performing real-time translations or sensitive material from a foreign language into English; collecting, analyzing, identifying, and decoding of colloquialisms and slang terms; Extracting pertinent information and communicating that information to law enforcement agent(s). Linguist is responsible for transcribing and translating source documents and recordings from storage media, including but not limited to audio files, video files or digital media.

Essential Functions And Responsibilities
Listens to oral intercepts in English or Foreign language and provides verbal and written synopsis. Linguist is responsible for relating all pertinent information to the Client.
Contribute to the master list of slang words and codes (used by that group/organization) for the duration of the project/case.
Maintains a voice library for the duration of the project.
During inactive or low periods of activity, transcribes and translates pertinent calls, other audio files and electronic messages assigned by their supervisor.
Produce court ready transcriptions and translations of pertinent calls following the required format.
Responsible for using the various reference tools created during the project
Ability to transcribe and translate a minimum of 18 - 22 minutes of recorded conversation in an 8-hour day.
Operates specialized translation equipment provided by the government to include JSI voice box, Pen-link, Comverse, and other communication collection equipment used at their assigned site.
Maintain daily log of productivity.
Knowledge, Skills, Abilities And Qualfications
Bachelor’s degree or active progress toward a bachelor’s degree AND one-year experience in a professional setting OR High School Diploma AND three (3) years’ experience in a professional setting.
U.S. Citizen or Permanent Resident
Must have knowledge of source language colloquial terms and expressions.
Knowledgeable is SMS language, social media and Webchat.
Must be able to obtain a law enforcement sensitive clearance
Demonstrates excellent verbal and written skills in both the source and target language, including correct and accurate grammar, punctuation, and spelling.
Must be able to obtain an ALTA Language certificate in Foreign Language and English
Must possess strong computer skills in MS Office, including Microsoft Word and Excel; PowerPoint and Outlook.
Requires strong communication and interpersonal skills to effectively interact with different departments within the company, employees and with clients.
Ability to take technical direction and feedback from various sources.
Must be able to identify and escalate non-technical issues to Operations Supervisor, Field and Site Supervisors and Team Leads in a timely and effective manner
Committed to providing outstanding customer service and represent KACE in a Professional manner.
Requires the ability to prioritize work, meet stringent deadlines, balance multiple tasks and work in a team environment.
Must be able to testify based on completed work product
Ability to translate/transcribe 18-22 minutes of recorded conversation in an 8/hour day when performing Linguist duties.
Ability to type 45 WPM
Available to work a minimum of 32 hours per week.
Must be available to work a flexible schedule, to include nights, weekends, and holidays
Must be available to work a minimum of 32 consecutive labor hours per week, 8 hours per shift, when assigned to local projects
Must be available to travel to other locations nationwide for a minimum of 60 days and work a minimum of 40 hours per week during TDY assignments and overtime as needed
Availability to travel 70% throughout the year
Clearance

Applicants selected may be subject to a government background investigation and may be required to meet the following conditions of employment.

Security Requirements
Ability to obtain/maintain a Security Clearance
Favorable credit check for all cleared positions
Successfully pass a background investigation, medical and drug screen.
Physical Requirements/Working Conditions

Standing/Walking/Mobility: Must have mobility to attend meeting with other managers and employees.

Climbing/Stooping/Kneeling: 0% - 10% of the time.

Lifting/Pulling/Pushing: 0% - 10% of the time.

Fingering/Grasping/Feeling: Must be able to write, type and use a telephone system 100% of the time.

Sitting: 90% to 95% of the time.

These requirements are thoroughly reviewed during the employment screening process. Candidates must meet all qualifications and selection criteria.

Our COVID-19 Response

The health and safety of our employees, partners, and customers is our priority. We have implemented workplace safety protocols and constantly monitor the evolving situation to adjust our COVID-19 response as needed. Additionally, as a federal contractor, we have policies from certain customers that require personnel working onsite to be fully vaccinated or regularly provide negative COVID-19 test results.

For more information about the company please visit our website at www.kacecompany.com

KACE is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, disability or any other federal, state or local protected class."
Maintenance Supervisor,Teleflex,"Trenton, GA",On-site,1 week ago,Full-time,"About the job
Expected Travel: Up to 10%

Requisition ID: 7971

About Teleflex Incorporated

Teleflex is a global provider of clinically effective medical technologies designed to improve the health and quality of people’s lives. We apply purpose driven innovation – a relentless pursuit of identifying unmet clinical needs – to benefit patients and healthcare providers. Our portfolio is diverse, with solutions in the fields of vascular and interventional access, interventional cardiology, surgical, anesthesia, cardiac care, interventional urology, urology, emergency medicine and respiratory care. Teleflex employees worldwide are united in the understanding that what we do every day makes a difference. For more information, please visit teleflex.com.

OEM – Teleflex Medical OEM is a leading global provider of product development and production services for medical device manufacturers. We set ourselves apart with deep expertise, decades of experience, a dedication to design for manufacturability, and extensive, in-house capabilities, which include engineering, regulatory services, material selection and formulation, prototyping, manufacturing, assembly and packaging. We deliver industry-changing innovations and next-generation solutions for extrusions; diagnostic and interventional catheters; balloons and balloon catheters; sheath/dilator sets; specialty sutures, braids and fibers; and bioabsorbable sutures, yarns and resins. Join a dynamic, growing team that offers healthcare providers an array of medical technology solutions that make a difference in patients’ lives.

Position Summary

The Maintenance Supervisor is responsible for the maintenance, upkeep, and safe operation of the property, including all buildings and grounds. This individual is also responsible for managing the maintenance group, who’s focus is maintaining operations and facilities equipment. This position also requires managing the machine shop, which supports maintenance, operations, and engineering efforts. The Maintenance Supervisor relies on their experience, as well as the experience of their team, to design and install equipment, build tooling, implement cost savings, and solve critical issues. Interaction and successful communication between this individual and others at varying levels of the business is critical to success.

Principal Responsibilities
Supervise maintenance technicians and machinists and schedule and prioritize jobs/work orders.
Assist internal customers in the development and execution of projects. This can include facility and infrastructure planning, system upgrades, procurement of parts and services, and verification and validation support.
Manage preventive/predictive maintenance for production and facilities equipment according to prescribed schedules and develop PM plans and tasks utilizing experience and SME input.
Request quotes and negotiate service contracts.
Write, manage, and execute capital projects (PEAs).
Develop and implement equipment installation standards and monitor installations to assure they meet facility and safety standards
Coordinate utility supply and connection to manufacturing equipment.
Provide technical support to make repairs on production or facilities equipment
Collaborate with internal and external customers to evaluate product, process, or materials
Identify and implement cost savings related to equipment or utilities usage.
Assist Operations and Engineering with problem solving and solution implementation
Own all other aspects of the facility, which could include security, office space, pest control, and grounds maintenance.
Maintain an inventory of tools, machine components and safety equipment.
Write and/or approve purchase requisitions for facilities, machine shop, or maintenance needs.

Education / Experience Requirements
Bachelor’s degree in a technical field strongly preferred and 7+ years of building maintenance/facilities experience; or minimum of 15 years of experience working within building maintenance/facilities, without a degree
Minimum of 5 years of experience managing maintenance technicians, electricians, or machinists, is required.
Experience working in a regulated manufacturing facility (FDA, ISO, etc.)

Specialized Skills / Other Requirements
Extensive knowledge of building management and equipment management is required
Working knowledge of mechanical, electrical, pneumatic, and hydraulic systems and instrumentation.
Ability to develop successful relationships with vendors
Experience working with ERP systems; experience with SAP a plus
Proficient in Microsoft Office Suite software, including Excel, Word, PowerPoint required.
Strong project management skills
Self-motivated with a high degree of initiative and ability multi-task with changing priorities
Proven ability to effectively lead and develop subordinates
Strong attention to detail and exceptional problem solving skills
Ability to work collaboratively with all departments
Must have strong oral, written, interpersonal communication and presentation skills for effective dealings with customers and team members
Strong leadership skills as demonstrated by the ability to make difficult decisions, take calculated risks, lead a diverse organization all the while building a team that is collaborative and results oriented
Demonstrated ability to deliver against high expectations
Strong organizational, negotiation, influencing, motivational and developmental skills
Aligns with Teleflex CARE Principles and Core Values

Teleflex, Inc. is an affirmative action & equal opportunity employer. D/V/M/F. Applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status. If you require accommodation to apply for a position, please contact us at: 262-439-1894.

Teleflex is the home of Arrow®, Deknatel®, Hudson RCI®, LMA®, Pilling®, Rüsch®, UroLift® and Weck® – trusted brands united by a common sense of purpose. Teleflex, the Teleflex logo, Arrow, Deknatel, Hudson RCI, LMA, Pilling, Rüsch, UroLift and Weck are trademarks or registered trademarks of Teleflex Incorporated or its affiliates, in the U.S. and/or other countries.

© 2021 Teleflex Incorporated. All rights reserved."
Intern - Manufacturing Engineer,HNI Workplace Furnishings,"Muscatine, IA",On-site,2 weeks ago,Full-time · Entry level,"About the job
Description

Position at HNI Workplace Furnishings

HON and Allsteel, industry leaders in office furniture design and manufacturing, is in search of an Engineering Intern to join our Leveraged Furniture Operations (LFO) team in Muscatine, IA!

HON and Allsteel, two leading brands under HNI, have summer internship opportunities for students pursuing an engineering degree and are interested in a career in manufacturing.

Each summer, 70-100 students from a variety of majors, join the HNI family for a summer focused on hands on learning, professional development and networking.

As an engineering intern with HON and Allsteel, you join a fast-paced team with a vision and passion for implementing solutions and exceeding our customers’ expectations. While no day will be the same, you can expect to put the knowledge you have gained in the classroom to use each and every day in a variety of experiences.

From working on the development and implementation of production and processing methods to controls for quality standards, our engineering interns are challenged and charged with continually seeking better ways of conducting business . . . continually asking . . . How can this be improved?

Each summer, engineering interns receive a project (or two!) for the summer and work directly with a mentor for technical and professional guidance. Throughout the summer, professional development sessions are provided for interns including opportunities to learn from and network with senior leadership.

Outside of work, interns from HNI enjoy professional and social networking opportunities throughout the Muscatine community. This is a paid internship and housing is provided if needed.

What It Takes
Pursuing a four year degree in engineering
Attained high academic achievement in their education pursuits
Strong leadership characteristics and be active in college activities
Ability to work in a cross-functional team environment
Be adaptable and flexible is critical
Strong communication skills are required
We look forward to hearing from you!

We are not accepting any candidates that require company sponsorship to legally work in the United States.

Why HNI Corporation?

HNI Corporation (NYSE: HNI), is a $2.3 billion-dollar, global office furniture and hearth product enterprise. Our furniture brands are among the strongest, most widely known in the industry, including HON, Allsteel, Gunlocke, HBF, Maxon, and OFM. The depth and breadth of our brands, the scale and capability of our manufacturing, and the strength of our distribution enables us to provide the best office furniture solutions to meet the needs of every customer.

One of the largest employers in Iowa, HNI Corporation has been ranked by Industry Week magazine as one of the “Top 100 Best Managed Companies in the World”, by Fortune magazine as “The Most Admired Company” in the furniture industry; and named by Chief Executive Magazine as one of the world’s best companies for leadership development.

We invite you to visit us at www.HNICorp.com for the best visual overview of our organization.

EEO/Male/Female/Veteran/Disabled

Our company endeavors to make www.hnicareers.com accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact us at 563-272-7400 or via email at [email protected] The Company is an equal opportunity employer and does not discriminate on the basis of and all qualified applicants will receive consideration for employment without regard to race, creed, color, sex, affectional or sexual orientation, gender identity or expression, gender, ethnicity, religion, national origin, ancestry, nationality, age, disability, marital status, veteran status, genetic information, or on any other basis prohibited by law (except where an attribute is a bona fide occupational qualification)."
GUEST ROOM ATTENDANT at Oasis,DTP Companies,"Las Vegas, NV",On-site,2 weeks ago,$16.67/hr - $19.92/hr (from job description) · Full-time · Entry level,"About the job
About DTP Companies

We are a group of passionate people committed to helping to transform Downtown Las Vegas into the most community-focused large city in the world. We are doing that by inspiring and empowering people to follow their passions to create a vibrant, connected urban core.

About The Oasis At Gold Spike

The Oasis is an Adults Only Boutique Hotel with 130 individually designed and remodeled rooms.

Essential Duties And Responsibilities
Cleans and vacuums approximately 15 rooms a day
Conducts am and pm room checks to determine the status of rooms
Loads GRA cart with all cleaning supplies and linens
Dusts and cleans all furniture, picture frames, mirrors, windows, baseboards, carpet edges, inside and outside door panels, door ledges, and thresholds
Cleans under bed skirts, desk, and behind night stands
Checks and replaces all missing items in rooms such as hangers, ice buckets, hair dryers, brochures, and stationery
Cleans and ensures bathtubs, showers, ledges, sinks, vanity shelves, toilets, and vases are spot and dust-free
Sweeps, mops, and swifts all bathroom floors
Performs all other job related duties as assigned
Qualifications
Outstanding communication and active listening skills
Highly responsible and reliable
Ability to work flexible hours
Education/Experience
At least six (6) months of previous cleaning experience
Working knowledge of cleaning equipment, supplies, and chemicals
Previous experience working in a similar hotel setting
If you are having issues with the APPLY button, try refreshing first or clearing your browser data***"
Mechanical Designer,Flux Resources,"Phoenix, AZ",Remote,1 week ago,Internship · Internship,"About the job
Responsibilities

Responsible for producing mechanical layouts, technical design details, compiles data, performs design computations, and assists in preparation of cost estimates that meet our specifications and client needs.
Responsible for creating, influencing, and finalizing designs involving industrial and domestic piping, plumbing, chillers, boilers, HVAC ducting, exhaust, motor control, process chemicals, wastewater discharge, Fire Protection systems and possibly other mechanical building systems.
Applies standard design techniques and procedures and exercising judgment in making minor adaptations and modifications to design concepts. Ensure quality control by complying with company and team design and CAD standards.
Will work with our Mechanical Engineers, Project Managers, and other stakeholders on specific assigned objectives, complex features, and aid in deriving possible solutions to unusual problems.
Coordinate needs, designs, and develops an understanding with other design disciplines (Electrical, Structural, Process/Chemical, Architectural, etc.) for design package needs.
Perform field verifications / site walks to identify, verify, resolve, and incorporate solutions into design packages. May troubleshoot design problems in the field during construction.

Qualifications

High school diploma or GED is required. An Associate or Bachelor’s degree-tracked in engineering or architectural fields is preferred.
Demonstrated knowledge or experience with designs containing HVAC, chillers, boilers, pump hydraulics, exhaust, process chemicals, wastewater discharge, or other similar mechanical building systems
Experience working with AutoCAD (or similar CAD system) is required. Experience with Revit or similar 3D modeling software, Navisworks, PIPE-FLO or similar hydraulic modeling software is a plus."
Social Media Analyst Intern,Chegg Inc.,"Portland, OR",On-site,3 weeks ago,Full-time · Entry level,"About the job
Responsibilities

Job Description

Assimilate extensive amounts of detailed data collected from social platforms and to capture the big picture and monitor brand reputation.
Recognize opportunities, formulate hypotheses, identify insights, and drive recommendations relevant to the business goals and objectives.
Analyze current media statements or postings to support trend analysis and identify key communicators and influencers.
Stay abreast on best practices and latest trends in digital marketing, web analytics, SEO, SEM, digital content and campaign management, and supporting technology

Experience

Rising Senior pursuing a BS degree in Communications, Business, Analytics, Media Studies, Public Relations, Marketing or related field
Be legally allowed to work in the US (US citizen, green card, or F1 student visa holder)
Be able to work 40 hours per week for 12 consecutive weeks
Be onsite in Chegg’s Santa Clara office 3x/week (Tues, Wed, Thurs) /Remote M/F
Solidified understanding of the social and public space (social media): possessing a basic understanding of the social media arena in general is crucial to the success of this project. Terms like trending, engagement, and mentions will be highly leveraged throughout to convey why we are reporting what we are reporting.
Passion for media and research (data): this is an insight driven opportunity, and the person who is selected will need to be interested in tackling research in an area of their choosing leveraging media resources. Must be data-driven and comfortable transforming raw data into insights.
Excellent communication skills are a must (communication): this position requires you to organize and communicate findings and ideas in a thorough manner, often for audiences that have far less exposure to the social media space. This role is taking social data and making it understandable for non-social media users. This includes written and verbal communication as well as the ability (or willingness) to construct a deck and speak to it in front of an audience of varying levels of leadership.
Critical Thinking: ability to understand AND apply Identifying the problem, BETM, and what success looks like to ensure our time on the internet is utilized most effectively – the internet is a big place, what can we take from it that’s meaningful?
Accountability: dependable and takes ownership. Is not afraid to ask questions and admit they're stuck. Dependable and results focused.
Flexible, Adaptable and Strategic: deals well with ambiguity and adjusting to constant change does not impact long-term performance. Understanding of tactical steps to long term outcomes.

Why do we exist?

Students are working harder than ever before to stabilize their future. Our recent research study called State of the Student shows that nearly 3 out of 4 students are working to support themselves through college and 1 in 3 students feel pressure to spend more than they can afford. We founded our business on provided affordable textbook rental options to address these issues. Since then, we’ve expanded our offerings to supplement many facets of higher educational learning through Chegg Study, Chegg Math, Chegg Writing, Chegg Internships, Thinkful Online Learning, and more to support students beyond their college experience. These offerings lower financial concerns for students by modernizing their learning experience. We exist so students everywhere have a smarter, faster, more affordable way to student.

Video Shorts

Life at Chegg: http://youtu.be/Fwf90zgaOLA

Certified Great Place to Work!: http://reviews.greatplacetowork.com/chegg

Chegg Corporate Career Page: https://jobs.chegg.com/

Chegg India: http://www.cheggindia.com/

Chegg Israel: http://www.chegg.com/about/working-at-chegg/israel/

Thinkful (a Chegg Online Learning Service): https://www.thinkful.com/about/#careers

Chegg out our culture and benefits!

http://www.chegg.com/about/working-at-chegg/benefits/

http://techblog.chegg.com/

Chegg is an equal opportunity employer"
OH Field Operator,Horizontal Wireline Services,"Midland, TX",Hybrid,1 week ago,$27.50/hr - $37.50/hr (from job description) · Part-time · Entry level,"About the job
OH Wireline Operator (inclusive of Junior, Senior & Lead Operator)

Job Summary

The Open Hole Wireline Operator role and job function consist of learning all areas of job preparation and executing a safe and successful operation involving a wireline operation. The Open Hole Wireline Operator reports directly to the crew leader (Engineer) and the base Operations Management team.

Job Duties
Safely operate heavy equipment of various sizes and weights utilized in wireline operations
Assist in all pre-job load-outs, checks, and equipment readiness before dispatch to a location
Follow all government, company, and client policies and procedures
Identify any issues and report to the appropriate departments
Work an on-call schedule and dispatch to a job site when needed
Successfully achieve and obtain any required training qualifications associated with the position
Remain current on all third party and company-specific training programs
Perform any other duties necessary to help drive our Vision, fulfill our Mission, and abide by our Organizational Values

Knowledge, Skills, Abilities And Other Characteristics
Possess High School/GED or Undergraduate degree (degree in Geology or Engineering a plus)
Ability to obtain BATFE clearance for Employee Possessor of explosives
Prior wireline operator experience preferred
Possess basic knowledge of heavy-equipment operating principles
Willingness to learn and develop under direct supervision on how to safely use heavy equipment of various sizes and weights utilized in wireline operations
Possess strong working knowledge on how to load, transport, and assemble perforating and plug setting equipment
Ability to drive and operate equipment under various working conditions
Ability to understand and carry out written and oral instructions
Ability to meet job schedule deadlines with dependability and consistency
Possess or obtain a CDL and Hazmat endorsement license within the company standard timeline
Possess or obtain company-specific certifications or requirements related to the operation of crane and pressure control equipment
Ability to read and interpret documents such as safety manuals, operational instructions, and policies/procedures
Ability to effectively communicate with peers, subordinates, and supervisors
Ability to solve problems in the field and interpret data presented in written, diagrammatic, or schedule form
Willingness to learn and develop the expertise needed to progress within the Operator positions

Necessary Physical Abilities To Perform Essential Job Functions

The safety of our employees is a crucial priority of WLS; thus, the company must ensure that applicants are physically able to perform certain essential functions of the Open Hole Operator position. Applicants should be able to physically perform the following activities (or be able to perform these activities with a reasonable accommodation):
Routinely lift and move up to 100 pounds
Sit, speak or listen actively for extended periods
Possess full use of both hands to feel or manipulate objects, tools, or controls
Perform an extended reach with arms to manipulate objects, tools, or controls
Walk short distances, sometimes over uneven terrain
Perform manual work requiring periods of extensive physical exertion, sometimes under extreme weather conditions"
Studio Store Clerk,The Walt Disney Company,"Emeryville, CA",On-site,2 weeks ago,Full-time,"About the job
The Studio Store Clerk provides customer service to guests of the Pixar Studio Store. S/He is responsible for maintaining the appearance of the store and executing operational processes effectively and efficiently.

RESPONSIBILITIES:

Provide exceptional customer service to guests visiting the store
Perform opening/closing duties including but not limited to accurate and efficient cash
handling, restocking inventory, and occasional shipment of products
Ensure the store has appropriate amount of inventory (sizes, colors, etc.)
Assist with Department Orders; sort and distribute products to appropriate departments
within the studio
Assist in maintaining store appearance
Flexible to perform a variety of duties to support the needs of the store

QUALIFICATIONS:

Prior retail experience in a fast paced environment preferred
Ability to work a flexible schedule (evenings, weekends, and short notice on weekdays)
High level of integrity
Keen sense of initiative
Strong communication and organizational skills

PHYSICAL REQUIREMENTS:

Ability to lift up to 50 lbs
Ability to maneuver around sales floor and frequently move merchandise throughout the
studio

The hiring range for this position in Emeryville is $35,445.00 to $45,870.00 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors."
Housekeeper,Associa,"San Antonio, TX",On-site,2 weeks ago,"$84,000/yr - $125,000/yr (from job description) · Full-time · Entry level","About the job
With more than 225 branch offices across North America, Associa is building the future of community for nearly five million residents worldwide. Our 11,000+ team members lead the industry with unrivaled education, expertise, and trailblazing innovation. For more than 43 years, Associa has brought positive impact and meaningful value to communities. To learn more, visit www.associaonline.com.

Job Description

Under supervision, cleans, polishes, and sanitizes gathering and public spaces including lobbies, halls, stairwells, activities room, elevators, etc. to present the community in a positive and impressive manner for residents and guests. Cleans residents’ apartments on a weekly basis or as needed. In addition, interacts with residents and guests in a friendly and courteous manner, providing assistance and directions as requested.

Requirements

Duties include but are not limited to:
Cleans floors to include sweeping, dusting, damp/wet mopping, stripping, waxing, buffing, disinfecting, etc. Properly sets up appropriate caution and safety signs to ensure safety of residents and visitors and ensures their removal as appropriate. Cleans carpets including vacuuming, shampooing, deodorizing, and disinfecting.
Removes dirt, dust, grease, film, etc., from surfaces using proper cleaning/disinfecting solutions. Handles hazardous cleaning supplies according to proper procedures and ensures accurate labeling.
Cleans public restrooms including washing, sanitizing, and/or polishing bathroom fixtures. Ensures that water marks are removed from fixtures.
Visits assigned residents to perform basic apartment cleaning of bathroom fixtures and floors. Wipes surfaces in kitchen and ensures that appliances are clean. Vacuums and feather dusts surfaces in apartment. Avoids disturbing residents’ belongings and respects privacy. Removes linens from bed and returns to resident for cleaning. Makes beds with clean linens according to resident’s preferences. Logs cleaning activities as required by procedures.
Interacts with residents in a friendly manner, providing meaningful attention. Communicates concerns with resident’s health to management as appropriate.
Attends and participates in in-service educational classes, on-the-job training programs, etc., as scheduled or directed.
Responds appropriately to resident emergencies by calling or contacting appropriate internal and external parties, according to established protocol. May also assist with disaster management efforts and activities during evacuations (i.e., fires, hurricanes, etc.).

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law."
